행정구역,2023년01월_계_총인구수,2023년01월_계_연령구간인구수,2023년01월_계_0~9세,2023년01월_계_10~19세,2023년01월_계_20~29세,2023년01월_계_30~39세,2023년01월_계_40~49세,2023년01월_계_50~59세,2023년01월_계_60~69세,2023년01월_계_70~79세,2023년01월_계_80~89세,2023년01월_계_90~99세,2023년01월_계_100세 이상,2023년01월_남_총인구수,2023년01월_남_연령구간인구수,2023년01월_남_0~9세,2023년01월_남_10~19세,2023년01월_남_20~29세,2023년01월_남_30~39세,2023년01월_남_40~49세,2023년01월_남_50~59세,2023년01월_남_60~69세,2023년01월_남_70~79세,2023년01월_남_80~89세,2023년01월_남_90~99세,2023년01월_남_100세 이상,2023년01월_여_총인구수,2023년01월_여_연령구간인구수,2023년01월_여_0~9세,2023년01월_여_10~19세,2023년01월_여_20~29세,2023년01월_여_30~39세,2023년01월_여_40~49세,2023년01월_여_50~59세,2023년01월_여_60~69세,2023년01월_여_70~79세,2023년01월_여_80~89세,2023년01월_여_90~99세,2023년01월_여_100세 이상
서울특별시 광진구 군자동(1121573000),"19,424","19,424",716,977,"4,293","3,641","2,540","2,672","2,528","1,367",624,63,3,"9,602","9,602",372,511,"2,076","1,876","1,301","1,340","1,217",656,244,9,0,"9,822","9,822",344,466,"2,217","1,765","1,239","1,332","1,311",711,380,54,3
서울특별시 광진구 중곡제1동(1121574000),"15,326","15,326",609,683,"2,865","3,005","1,934","2,383","2,192","1,118",481,56,0,"7,328","7,328",306,357,"1,218","1,477","1,015","1,194","1,028",518,201,14,0,"7,998","7,998",303,326,"1,647","1,528",919,"1,189","1,164",600,280,42,0
서울특별시 광진구 중곡제2동(1121575000),"20,979","20,979",906,"1,299","3,453","3,782","2,891","3,410","3,017","1,533",612,74,2,"9,889","9,889",460,655,"1,548","1,838","1,425","1,564","1,419",693,272,14,1,"11,090","11,090",446,644,"1,905","1,944","1,466","1,846","1,598",840,340,60,1
서울특별시 광진구 중곡제3동(1121576000),"15,964","15,964",645,866,"2,449","2,729","2,138","2,745","2,460","1,311",564,56,1,"7,903","7,903",356,438,"1,168","1,437","1,113","1,357","1,213",583,224,13,1,"8,061","8,061",289,428,"1,281","1,292","1,025","1,388","1,247",728,340,43,0
서울특별시 광진구 중곡제4동(1121577000),"27,967","27,967","1,129","1,740","4,059","4,048","3,722","5,176","4,633","2,383",974,99,4,"13,676","13,676",582,917,"2,054","2,088","1,880","2,443","2,184","1,106",398,22,2,"14,291","14,291",547,823,"2,005","1,960","1,842","2,733","2,449","1,277",576,77,2
서울특별시 광진구 능동(1121578000),"11,182","11,182",495,504,"2,267","2,491","1,620","1,407","1,305",705,350,37,1,"5,137","5,137",255,251,984,"1,117",802,663,588,315,151,11,0,"6,045","6,045",240,253,"1,283","1,374",818,744,717,390,199,26,1
서울특별시 광진구 광장동(1121581000),"34,103","34,103","2,603","5,443","3,880","3,311","7,028","5,952","3,328","1,502",891,158,7,"16,485","16,485","1,358","2,777","1,917","1,469","3,155","3,018","1,656",721,358,54,2,"17,618","17,618","1,245","2,666","1,963","1,842","3,873","2,934","1,672",781,533,104,5
서울특별시 광진구 자양제1동(1121582000),"21,839","21,839",792,"1,426","3,922","3,759","3,182","3,419","2,966","1,547",740,85,1,"10,632","10,632",404,752,"1,895","1,952","1,579","1,682","1,402",653,290,23,0,"11,207","11,207",388,674,"2,027","1,807","1,603","1,737","1,564",894,450,62,1
서울특별시 광진구 자양제2동(1121583000),"23,890","23,890","1,333","1,734","3,303","3,668","3,672","3,942","3,673","1,789",680,94,2,"11,598","11,598",674,909,"1,619","1,853","1,813","1,855","1,730",837,280,27,1,"12,292","12,292",659,825,"1,684","1,815","1,859","2,087","1,943",952,400,67,1
서울특별시 광진구 자양제3동(1121584000),"27,566","27,566","2,047","2,484","3,556","3,870","4,344","4,665","3,775","1,713",948,158,6,"13,179","13,179","1,068","1,199","1,784","1,799","2,068","2,212","1,821",788,384,54,2,"14,387","14,387",979,"1,285","1,772","2,071","2,276","2,453","1,954",925,564,104,4
서울특별시 광진구 자양제4동(1121584700),"17,982","17,982",638,781,"2,980","2,943","2,312","2,865","3,042","1,625",725,70,1,"8,947","8,947",332,382,"1,437","1,551","1,211","1,499","1,492",741,283,18,1,"9,035","9,035",306,399,"1,543","1,392","1,101","1,366","1,550",884,442,52,0
서울특별시 광진구 구의제1동(1121585000),"23,402","23,402",919,"1,228","4,911","4,628","3,283","3,459","2,796","1,430",661,83,4,"11,140","11,140",463,600,"2,207","2,320","1,639","1,661","1,343",625,255,27,0,"12,262","12,262",456,628,"2,704","2,308","1,644","1,798","1,453",805,406,56,4
서울특별시 광진구 구의제2동(1121586000),"25,981","25,981","1,468","2,212","3,429","3,674","4,134","4,470","3,694","1,948",862,85,5,"12,487","12,487",761,"1,130","1,685","1,825","2,007","2,121","1,720",884,336,18,0,"13,494","13,494",707,"1,082","1,744","1,849","2,127","2,349","1,974","1,064",526,67,5
서울특별시 광진구 구의제3동(1121587000),"28,222","28,222","1,669","2,389","4,275","4,472","4,222","4,665","3,745","1,809",854,118,4,"13,308","13,308",842,"1,167","1,962","2,172","1,933","2,213","1,796",850,337,34,2,"14,914","14,914",827,"1,222","2,313","2,300","2,289","2,452","1,949",959,517,84,2
서울특별시 동대문구 (1123000000),"336,415","336,415","18,541","22,691","55,973","48,449","48,362","51,698","47,869","27,786","13,455","1,537",54,"165,657","165,657","9,427","11,560","27,020","24,950","24,906","26,145","23,336","12,464","5,412",427,10,"170,758","170,758","9,114","11,131","28,953","23,499","23,456","25,553","24,533","15,322","8,043","1,110",44
서울특별시 동대문구 용신동(1123053600),"34,620","34,620","1,615","1,657","6,546","6,288","4,823","4,960","4,665","2,567","1,351",144,4,"17,238","17,238",797,869,"2,934","3,227","2,566","2,639","2,414","1,171",577,44,0,"17,382","17,382",818,788,"3,612","3,061","2,257","2,321","2,251","1,396",774,100,4
서울특별시 동대문구 제기동(1123054500),"24,165","24,165",886,"1,287","4,499","3,127","2,780","3,658","3,866","2,558","1,347",148,9,"12,370","12,370",459,675,"2,382","1,724","1,526","1,949","1,908","1,158",544,44,1,"11,795","11,795",427,612,"2,117","1,403","1,254","1,709","1,958","1,400",803,104,8
서울특별시 동대문구 전농제1동(1123056000),"28,677","28,677","1,618","1,762","4,420","3,972","4,008","4,734","4,342","2,463","1,216",134,8,"14,302","14,302",821,896,"2,215","2,021","2,132","2,429","2,203","1,083",470,32,0,"14,375","14,375",797,866,"2,205","1,951","1,876","2,305","2,139","1,380",746,102,8
서울특별시 동대문구 전농제2동(1123057000),"18,147","18,147","1,077","1,609","2,024","2,074","2,784","3,197","2,842","1,582",874,82,2,"8,694","8,694",551,796,"1,027","1,051","1,339","1,540","1,295",691,373,30,1,"9,453","9,453",526,813,997,"1,023","1,445","1,657","1,547",891,501,52,1
서울특별시 동대문구 답십리제1동(1123060000),"28,156","28,156","2,441","1,939","3,904","4,877","4,747","4,050","3,474","1,765",841,109,9,"13,556","13,556","1,244",982,"1,734","2,302","2,435","1,985","1,733",801,309,30,1,"14,600","14,600","1,197",957,"2,170","2,575","2,312","2,065","1,741",964,532,79,8
서울특별시 동대문구 답십리제2동(1123061000),"27,762","27,762","1,674","1,803","3,278","4,208","3,915","4,668","4,389","2,460","1,228",138,1,"13,420","13,420",823,882,"1,640","2,150","1,958","2,282","2,073","1,092",486,33,1,"14,342","14,342",851,921,"1,638","2,058","1,957","2,386","2,316","1,368",742,105,0
서울특별시 동대문구 장안제1동(1123065000),"38,039","38,039","2,234","2,570","5,056","6,175","6,234","5,863","5,590","3,026","1,155",126,10,"18,803","18,803","1,168","1,297","2,353","3,193","3,216","2,949","2,681","1,436",479,30,1,"19,236","19,236","1,066","1,273","2,703","2,982","3,018","2,914","2,909","1,590",676,96,9
서울특별시 동대문구 장안제2동(1123066000),"32,374","32,374","2,536","2,861","3,709","4,726","5,697","4,995","4,438","2,376",921,113,2,"16,086","16,086","1,303","1,551","1,866","2,348","2,893","2,504","2,113","1,121",361,26,0,"16,288","16,288","1,233","1,310","1,843","2,378","2,804","2,491","2,325","1,255",560,87,2
서울특별시 동대문구 청량리동(1123070500),"18,638","18,638",678,989,"2,084","2,039","2,227","3,145","3,812","2,346","1,153",165,0,"9,297","9,297",336,526,"1,100","1,123","1,173","1,628","1,881","1,031",449,50,0,"9,341","9,341",342,463,984,916,"1,054","1,517","1,931","1,315",704,115,0
서울특별시 동대문구 회기동(1123071000),"10,505","10,505",350,670,"3,485","1,481","1,243","1,190",989,631,410,54,2,"5,045","5,045",169,334,"1,608",815,624,603,459,261,158,12,2,"5,460","5,460",181,336,"1,877",666,619,587,530,370,252,42,0
서울특별시 동대문구 휘경제1동(1123072000),"13,928","13,928",742,767,"3,703","2,147","1,650","1,900","1,521",973,466,57,2,"6,573","6,573",368,368,"1,550","1,103",865,914,764,421,204,16,0,"7,355","7,355",374,399,"2,153","1,044",785,986,757,552,262,41,2
서울특별시 동대문구 휘경제2동(1123073000),"23,816","23,816","1,018","1,953","5,516","2,828","3,265","3,522","2,995","1,802",825,90,2,"11,895","11,895",545,944,"2,929","1,499","1,638","1,766","1,406",804,334,29,1,"11,921","11,921",473,"1,009","2,587","1,329","1,627","1,756","1,589",998,491,61,1
